text	height	color	version	centering	enable
ポケットモンスター　プラチナ	16	1		ON	*
スタッフクレジット	16			ON	*
	264				*
ディレクター	16	2			*
	8				*
　　かわちまる　たけし	16				*
	264				*
アート　ディレクター	16	2			*
	8				*
　　すぎもり　けん	16				*
	152				*
ゲームデザイン　リーダー	16	2			*
	8				*
　　おおた　てつじ	16				*
	48				*
グラフィック　リーダー	16	2			*
	8				*
　　よしだ　ひろのぶ	16				*
	48				*
プログラム　リーダー	16	2			*
	8				*
　　まつだ　よしのり	16				*
	48				*
プログラム	16	2			*
	8				*
　　かがや　けいた	16				*
	8				*
　　のはら　さとし	16				*
	8				*
　　ごとう　だいすけ	16				*
	8				*
　　たかはし　ともや	16				*
	16				*
　　そがべ　ひさし	16				*
	8				*
　　おおの　かつみ	16				*
	16				*
　　わたなべ　てつや	16				*
	8				*
　　たまだ　そうすけ	16				*
	8				*
　　もり　あきと	16				*
	8				*
　　なかむら　ひろゆき	16				*
	8				*
　　たや　まさお	16				*
	8				*
　　いわさわ　みゆき	16				*
	8				*
　　さいとう　のぞむ	16				*
	8				*
　　おおた　ともみち	16				*
	8				*
　　みつはら　さとし	16				*
	152				*
ポケモン　デザイン	16	2			*
　　　　　　　　＆	16	2			*
　　　　　　グラフィック　デザイン	16	2			*
	8				*
　　すぎもり　けん	16				*
	8				*
　　よしだ　ひろのぶ	16				*
	8				*
　　ふじわら　もとふみ	16				*
	8				*
　　ふちの　ひろき	16				*
	8				*
　　よしだ　えみ	16				*
	8				*
　　リ　ヒョンジョン	16				*
	16				*
　　おおた　さとし	16				*
	8				*
　　うんの　たかお	16				*
	8				*
　　えお　かなこ	16				*
	8				*
　　とやま　けんきち	16				*
	8				*
　　おおむら　ゆうすけ	16				*
	8				*
　　やぎ　ひろゆき	16				*
	8				*
　　ごとう　ひろゆき	16				*
	32				*
ポケモン　デザイン	16	2			*
	8				*
　　にしだ　あつこ	16				*
	32				*
グラフィック　デザイン	16	2			*
	8				*
　　ほしば　けい	16				*
	152				*
おんがく	16	2			*
	8				*
　　さとう　ひとみ	16				*
	8				*
　　のはら　さとし	16				*
	8				*
　　ますだ　じゅんいち	16				*
	8				*
　　いちのせ　ごう	16				*
	32				*
サウンド　エフェクト	16	2			*
	8				*
　　のはら　さとし	16				*
	32				*
ポケモン　ボイス	16	2			*
	8				*
　　いちのせ　ごう	16				*
	152				*
ゲームデザイン	16	2			*
	8				*
　　にしの　こうじ	16				*
	8				*
　　さとう　ひとみ	16				*
	8				*
　　なかつい　すぐる	16				*
	8				*
　　ひろ　なかむら	16				*
	8				*
　　まつみや　としのぶ	16				*
	16				*
　　もりもと　しげき	16				*
	8				*
　　まつしま　けんじ	16				*
	8				*
　　しもやまだ　てるゆき	16				*
	8				*
　　たかはし　ただし	16				*
	8				*
　　おおもり　しげる	16				*
	8				*
　　とみさわ　あきひと	16				*
	32				*
シナリオプロット	16	2			*
	8				*
　　まつみや　としのぶ	16				*
	8				*
　　かわちまる　たけし	16				*
	16				*
　　ますだ　じゅんいち	16				*
	8				*
　　にしの　こうじ	16				*
	8				*
　　おおもり　しげる	16				*
	32				*
シナリオ	16	2			*
	8				*
　　まつみや　としのぶ	16				*
	8				*
　　さとう　ひとみ	16				*
	8				*
　　なかつい　すぐる	16				*
	16				*
　　とみさわ　あきひと	16				*
	32				*
マップ　デザイン	16	2			*
	8				*
　　なかつい　すぐる	16				*
	8				*
　　ひろ　なかむら	16				*
	8				*
　　にしの　こうじ	16				*
	16				*
　　たかはし　ただし	16				*
	8				*
　　おおもり　しげる	16				*
	8				*
　　とみさわ　あきひと	16				*
	8				*
　　しもやまだ　てるゆき	16				*
	32				*
ずかん　テキスト	16	2			*
	8				*
　　まつみや　としのぶ	16				*
	16				*
　　まつしま　けんじ	16				*
	32				*
パラメーター　せってい	16	2			*
	8				*
　　にしの　こうじ	16				*
	8				*
　　おおた　てつじ	16				*
	16				*
　　しもやまだ　てるゆき	16				*
	8				*
　　もりもと　しげき	16				*
	152				*
スクリプト　せってい	16	2			*
	8				*
　　のはら　さとし	16				*
	16				*
　　いわさわ　みゆき	16				*
	8				*
　　たまだ　そうすけ	16				*
	8				*
　　おおた　ともみち	16				*
