トレーナータイプ	視線ＢＧＭ	戦闘ＢＧＭ	分類
TRTYPE_aroma	mus_dp_eye_lady.mid	mus_dp_ba_train.mid	アロマなおねえさん
TRTYPE_iseki	mus_dp_eye_mount.mid	mus_dp_ba_train.mid	いせきマニア
TRTYPE_interview	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	インタビュアー
TRTYPE_ukiwag	mus_dp_eye_kid.mid	mus_dp_ba_train.mid	うきわガール
TRTYPE_ukiwab	mus_dp_eye_kid.mid	mus_dp_ba_train.mid	うきわボーイ
TRTYPE_aneotouto	mus_dp_eye_sport.mid	mus_dp_ba_train.mid	うみきょうだい
TRTYPE_elitew	mus_dp_eye_elite.mid	mus_dp_ba_train.mid	エリートトレーナー♀
TRTYPE_elitem	mus_dp_eye_elite.mid	mus_dp_ba_train.mid	エリートトレーナー♂
TRTYPE_princess	mus_dp_eye_rich.mid	mus_dp_ba_train.mid	おじょうさま
TRTYPE_sister	mus_dp_eye_lady.mid	mus_dp_ba_train.mid	おとなのおねえさん
TRTYPE_prince	mus_dp_eye_rich.mid	mus_dp_ba_train.mid	おぼっちゃま
TRTYPE_swimmerm	mus_dp_eye_sport.mid	mus_dp_ba_train.mid	かいパンやろう
TRTYPE_karate	mus_dp_eye_fight.mid	mus_dp_ba_train.mid	からておう
TRTYPE_guitarist	mus_dp_eye_fight.mid	mus_dp_ba_train.mid	ギタリスト
TRTYPE_campb	mus_dp_eye_boy.mid	mus_dp_ba_train.mid	キャンプボーイ
TRTYPE_espw	mus_dp_eye_fight.mid	mus_dp_ba_train.mid	サイキッカー♀
TRTYPE_espm	mus_dp_eye_fight.mid	mus_dp_ba_train.mid	サイキッカー♂
TRTYPE_gentle	mus_dp_eye_rich.mid	mus_dp_ba_train.mid	ジェントルマン
TRTYPE_schoolg	mus_dp_eye_girl.mid	mus_dp_ba_train.mid	じゅくがえり♀
TRTYPE_schoolb	mus_dp_eye_boy.mid	mus_dp_ba_train.mid	じゅくがえり♂
TRTYPE_daisukiw	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	だいすきクラブ♀
TRTYPE_daisukim	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	だいすきクラブ♂
TRTYPE_tanpan	mus_dp_eye_boy.mid	mus_dp_ba_train.mid	たんパンこぞう
TRTYPE_fishing	mus_dp_eye_enka.mid	mus_dp_ba_train.mid	つりびと
TRTYPE_dragon	mus_dp_eye_elite.mid	mus_dp_ba_train.mid	ドラゴンつかい
TRTYPE_bird	mus_dp_eye_sport.mid	mus_dp_ba_train.mid	とりつかい
TRTYPE_shinobi	mus_dp_eye_kid.mid	mus_dp_ba_train.mid	にんじゃごっこ
TRTYPE_battleg	mus_dp_eye_fight.mid	mus_dp_ba_train.mid	バトルガール
TRTYPE_parasol	mus_dp_eye_lady.mid	mus_dp_ba_train.mid	パラソルおねえさん
TRTYPE_swimmerw	mus_dp_eye_lady.mid	mus_dp_ba_train.mid	ビキニのおねえさん
TRTYPE_picnicg	mus_dp_eye_girl.mid	mus_dp_ba_train.mid	ピクニックガール
TRTYPE_futago	mus_dp_eye_kid.mid	mus_dp_ba_train.mid	ふたごちゃん
TRTYPE_sailor	mus_dp_eye_enka.mid	mus_dp_ba_train.mid	ふなのり
TRTYPE_collector	mus_dp_eye_mys.mid	mus_dp_ba_train.mid	ポケモンコレクター
TRTYPE_breederw	mus_dp_eye_lady.mid	mus_dp_ba_train.mid	ポケモンブリーダー♀
TRTYPE_breederm	mus_dp_eye_boy.mid	mus_dp_ba_train.mid	ポケモンブリーダー♂
TRTYPE_rangerw	mus_dp_eye_elite.mid	mus_dp_ba_train.mid	ポケモンレンジャー♀
TRTYPE_rangerm	mus_dp_eye_elite.mid	mus_dp_ba_train.mid	ポケモンレンジャー♂
TRTYPE_mini	mus_dp_eye_girl.mid	mus_dp_ba_train.mid	ミニスカート
