ID	MAPRESOURCE	MOVE_MODEL	MATRIX	event	script	msg	encount	maptype	bicycle	dash	escape	fly	BGM_DAY	BGM_NIGHT	WEATHER	CAMERA	BATTLE_BG	PLACE_NAME	WINDOW_TYPE	備考
EVERYWHERE	AREA_ID_FIELD	AREA_ID_FIELD	SINOU	×	×	×	×	MAPTYPE_ROAD	○	○	○	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	0	BG_ID_FOREST	MAPNAME_NOTHING	PLACE_WIN_SEE	範囲外など
NOTHING	AREA_ID_FIELD	AREA_ID_FIELD	SINOU	×	×	×	×	MAPTYPE_NOWHERE	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	0	BG_ID_FOREST	MAPNAME_NOTHING	PLACE_WIN_SEE	範囲外など
UG	AREA_ID_UNDERGROUND	AREA_ID_UNDERGROUND	UNDER_GROUND	○	○	○	×	MAPTYPE_UNDERGROUND	×	×	×	×	SEQ_TANKOU	SEQ_TANKOU	SUNNY	0	BG_ID_FOREST	MAPNAME_NOTHING	PLACE_WIN_SEE	炭鉱マップ
C01	AREA_ID_AREA01	MMLID_AREA01	SINOU	○	○	○	×	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	0	BG_ID_CITY	MAPNAME_C1KOTOBUKI	PLACE_WIN_CITY	コトブキシティ
C01FS0101	AREA_ID_ROOM03	MMLID_NOENTRY	FS01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_FS	SEQ_FS	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	コトブキ：フレンドリーショップ
C01GYM0101	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/2削除予定　コトブキ：ジム
C01PC0101	AREA_ID_ROOM02	MMLID_NOENTRY	PC01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	コトブキ：ポケモンセンター 1F
C01PC0102	AREA_ID_ROOM02	MMLID_NOENTRY	PC02	○	○	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	 コトブキ：ポケモンセンター 2F
C01R0101	AREA_ID_ROOM12	MMLID_NOENTRY	COMP01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1POKETCH	PLACE_WIN_SEE	コトブキ：ポケッチカンパニー 1Ｆ
C01R0102	AREA_ID_ROOM12	MMLID_NOENTRY	COMP02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1POKETCH	PLACE_WIN_SEE	コトブキ：ポケッチカンパニー 2Ｆ
